regiao;uf;municipio;codigo_ibge;taxa_analfabetismo_censo_ibge_2022;populacao_total_municipio_15_anos_censo_ibge_2022;populacao_nao_alfabetizada_censo_ibge_2022;matriculas_eja_fundamental_medio;escolas_municipais_eja;escolas_estaduais_eja;tem_tipo_matricula_eja;aderiu_pba_2024_sba;aderiu_pba_2025_sba;aderiu_pba_saldos_simec;unidade_prisional_oferta_educacional;15_19_anos_populacao_nao_alfabetizada;20_24_anos_populacao_nao_alfabetizada;25_34_anos_populacao_nao_alfabetizada;35_44_anos_populacao_nao_alfabetizada;45_54_anos_populacao_nao_alfabetizada;55_64_anos_populacao_nao_alfabetizada;65_anos_ou_mais_populacao_nao_alfabetizada;ano_adesao
Sul ;Paraná ;Iguatu ;4110052.0;10.851419031719532;1797.0;195.0;0.0;0.0;0.0;Não ;Não ;Não;Não ;sem unidade;1.2658227848101269;1.4925373134328357;1.6129032258064515;4.984423676012461;8.58085808580858;14.950166112956811;30.120481927710845;2024
Sul ;Paraná ;Iguaraçu ;4110003.0;6.088992974238876;4270.0;260.0;82.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;0.9375;1.41643059490085;0.7246376811594203;2.3543990086741013;3.830911492734478;8.360655737704919;24.705882352941178;2024
Sul ;Paraná ;Icaraíma ;4109906.0;9.38137321549966;7355.0;690.0;78.0;0.0;2.0;Sim;Não ;SIM;Não ;sem unidade;0.8237232289950577;0.8445945945945946;1.8056749785038693;3.787878787878788;7.37082066869301;10.9151973131822;29.815100154083208;2024
Sul ;Paraná ;Ibiporã ;4109807.0;5.106067490971707;41813.0;2135.0;313.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;1.1137868753762794;0.8389715832205683;1.004070556309362;1.4228154117350793;3.3701250919793964;7.608155146693188;17.908653846153847;2024
Sul ;Paraná ;Ibema ;4109757.0;11.89553152417874;4901.0;583.0;20.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.7094017094017095;1.7817371937639197;1.440576230492197;5.776173285198556;11.583924349881796;18.543046357615893;37.41307371349096;2024
Sul ;Paraná ;Ibaiti ;4109708.0;8.682170542635658;23220.0;2016.0;224.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;1.1482775836245631;0.9566968781470292;1.4118792599805257;2.789598108747045;7.20361509835194;14.111990950226245;28.595271210013905;2024
Sul ;Paraná ;Honório Serpa ;4109658.0;8.102564102564102;3900.0;316.0;15.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;0.6153846153846154;1.3245033112582782;1.2195121951219512;4.196816208393632;5.401459854014599;13.592233009708735;24.398073836276083;2024
Sul ;Paraná ;Guaratuba ;4109609.0;3.513935607880826;33296.0;1170.0;252.0;1.0;2.0;Sim;Não ;Não;Não ;Unidade sem oferta;0.7381370826010545;1.2673267326732671;1.2235817575083427;1.867255134951621;2.95402901590631;5.022914757103575;9.112534309240624;2024
Sul ;Paraná ;Guaraqueçaba ;4109500.0;9.179989685404848;5817.0;534.0;157.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.0657193605683837;2.795698924731183;2.1761658031088085;5.09433962264151;6.94980694980695;13.2404181184669;29.296424452133795;2024
Sul ;Paraná ;Guarapuava ;4109401.0;3.872749533906559;143748.0;5567.0;1968.0;1.0;4.0;Sim;Não ;Não;Não ;Unidade com oferta;0.6127543687117029;0.6291347775327539;0.8224882873503383;1.6956902793125788;3.872817528243752;6.8096626405664304;14.27018366996624;2024
Sul ;Paraná ;Guaraniaçu ;4109302.0;8.400791509264256;11118.0;934.0;196.0;0.0;2.0;Sim;Não ;Não;Não ;sem unidade;1.8967334035827188;1.4833127317676145;1.5005359056806002;3.791208791208791;7.578947368421053;11.817168338907468;22.77777777777778;2024
Sul ;Paraná ;Guaraci ;4109203.0;8.036856923470694;3907.0;314.0;26.0;0.0;0.0;Sim;Não ;Não;Não ;sem unidade;1.3605442176870748;1.4084507042253522;0.8012820512820512;1.9817073170731707;4.017216642754662;10.56782334384858;26.880222841225628;2024
